Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
14,Breast,112,Belarus,2,0,2007,42.27191015,67.26075177,4.705708538,3480
14,Breast,112,Belarus,2,0,2008,41.98164185,68.83280987,4.62126344,3507
14,Breast,112,Belarus,2,0,2009,43.98754844,71.70142003,4.867101585,3646
14,Breast,112,Belarus,2,0,2010,45.20983688,74.50725358,5.03422797,3783
14,Breast,112,Belarus,2,0,2011,44.99760633,74.2808847,5.054408569,3766
14,Breast,112,Belarus,2,0,2012,44.80785653,75.04068322,5.01442688,3802
14,Breast,112,Belarus,2,0,2013,45.64473937,76.5516232,5.232267073,3886
14,Breast,112,Belarus,2,0,2014,47.74644244,80.65998686,5.326699182,4098
14,Breast,112,Belarus,2,0,2015,49.42698359,84.65271944,5.582669761,4307
14,Breast,112,Belarus,2,0,2016,50.50095231,86.78179181,5.706116313,4419
14,Breast,112,Belarus,2,0,2017,51.55747524,89.50680629,5.748339545,4553
14,Breast,124,Canada,2,0,2007,77.6005061,123.3036116,8.6323548,15034
14,Breast,124,Canada,2,0,2008,76.8968003,123.6745135,8.501497281,15257
14,Breast,124,Canada,2,0,2009,79.11380213,128.2562729,8.788450815,16014
14,Breast,124,Canada,2,0,2010,80.66304011,131.7127329,9.000460917,16655
14,Breast,124,Canada,2,0,2011,81.15270244,134.4994491,9.04128747,17187
14,Breast,124,Canada,2,0,2012,78.0558554,130.2607519,8.744647927,16845
14,Breast,124,Canada,2,0,2013,82.45806545,140.3943385,9.328473236,18380
14,Breast,124,Canada,2,0,2014,83.36601884,142.8298524,9.421735201,18931
14,Breast,124,Canada,2,0,2015,82.60245831,142.9180934,9.279817333,19117
14,Breast,124,Canada,2,0,2016,83.02041869,145.6718077,9.37029143,19746
14,Breast,124,Canada,2,0,2017,82.7487963,145.9374198,9.229485636,20043
14,Breast,124,Canada,2,1,2007,15.60275412,30.34375655,1.697253907,5066
14,Breast,124,Canada,2,1,2008,15.07716307,29.36030183,1.649451501,4955
14,Breast,124,Canada,2,1,2009,14.50375154,28.96796357,1.569437274,4944
14,Breast,124,Canada,2,1,2010,14.17787917,28.85147065,1.533713516,4978
14,Breast,124,Canada,2,1,2011,13.8225707,28.44203803,1.515777118,4958
14,Breast,124,Canada,2,1,2012,13.63413002,28.26140969,1.475481463,4977
14,Breast,124,Canada,2,1,2013,13.23752573,28.12682274,1.449473262,5004
14,Breast,124,Canada,2,1,2014,13.27309129,28.5588351,1.429074998,5129
14,Breast,124,Canada,2,1,2015,13.03972326,28.37584013,1.416108045,5143
14,Breast,124,Canada,2,1,2016,13.09008546,28.91812718,1.408933239,5298
14,Breast,124,Canada,2,1,2017,12.82131943,28.67633762,1.369834159,5318
14,Breast,124,Canada,2,1,2018,12.27640296,28.06697907,1.308337256,5271
14,Breast,124,Canada,2,1,2019,11.98132078,27.74401946,1.276533061,5276
14,Breast,124,Canada,2,1,2020,11.75461429,27.10926776,1.258128638,5207
14,Breast,124,Canada,2,1,2021,11.56830135,27.59361433,1.239483689,5339
14,Breast,124,Canada,2,1,2022,11.23624997,27.48363029,1.16689989,5370
14,Breast,152,Chile,2,0,2007,35.96119823,44.72390972,4.002370485,84
14,Breast,152,Chile,2,0,2008,32.02504792,39.26166841,4.124692201,74
14,Breast,152,Chile,2,0,2009,30.35053518,39.08168601,3.081041449,74
14,Breast,152,Chile,2,0,2010,25.71878675,34.69666702,2.724101839,66
14,Breast,152,Chile,2,0,2011,45.35395135,58.66823115,5.070338324,112
14,Breast,152,Chile,2,0,2012,30.41477716,41.23948132,3.37530107,79
14,Breast,152,Chile,2,0,2013,40.34860637,55.25562061,4.565513795,109
14,Breast,152,Chile,2,0,2014,43.67692695,60.42113531,5.104242853,120
14,Breast,152,Chile,2,0,2015,32.0801792,46.52489082,3.742600736,93
14,Breast,152,Chile,2,0,2016,31.90381805,47.19465061,3.857920368,95
14,Breast,152,Chile,2,0,2017,37.36914154,53.77935662,4.279860894,109
14,Breast,152,Chile,2,1,2007,9.956774359,13.39788018,1.081119761,1123
14,Breast,152,Chile,2,1,2008,10.24966869,13.98503353,1.123028736,1184
14,Breast,152,Chile,2,1,2009,11.18144332,15.6456588,1.216307017,1338
14,Breast,152,Chile,2,1,2010,10.60568543,15.01493679,1.150530835,1297
14,Breast,152,Chile,2,1,2011,10.53958654,15.44128457,1.182349302,1347
14,Breast,152,Chile,2,1,2012,10.30471152,15.52198641,1.13217429,1367
14,Breast,152,Chile,2,1,2013,10.38765031,15.6232232,1.173987124,1389
14,Breast,152,Chile,2,1,2014,10.17315901,15.83672713,1.115074801,1422
14,Breast,152,Chile,2,1,2015,10.4981976,16.65718515,1.142440225,1511
14,Breast,152,Chile,2,1,2016,10.24042412,16.2282277,1.154167529,1490
14,Breast,152,Chile,2,1,2017,9.977518546,16.12371953,1.114840798,1504
14,Breast,152,Chile,2,1,2018,9.791373131,16.34447842,1.026278067,1552
14,Breast,152,Chile,2,1,2019,10.19963104,17.14240734,1.083079725,1654
14,Breast,152,Chile,2,1,2020,9.96078017,16.88338209,1.071533383,1644
14,Breast,152,Chile,2,1,2021,9.850059077,17.44691085,1.038201837,1707
14,Breast,156,China,2,0,2007,35.12652416,57.85101174,3.782394022,2601
14,Breast,156,China,2,0,2008,37.06538864,64.51076241,3.99451894,2916
14,Breast,156,China,2,0,2009,35.64222313,63.24509944,3.859870217,2870
14,Breast,156,China,2,0,2010,38.34407026,66.34084334,4.09375331,3027
14,Breast,156,China,2,0,2011,38.80779641,69.06341319,4.283295808,3162
14,Breast,156,China,2,0,2012,40.99300436,72.42858378,4.464415824,3325
14,Breast,156,China,2,0,2013,40.14727817,72.61065298,4.317988602,3340
14,Breast,156,China,2,0,2014,45.11523,81.24234683,4.923767982,3736
